"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
132,"AI","C3.ai, Inc.","Technology","Information Technology Services","USA",2219.26,,22.08,-5.96%,4382887
133,"AIA","iShares Asia 50 ETF","Financial","Exchange Traded Fund","USA",,,68.92,-1.10%,55242
134,"AIF","Apollo Tactical Income Fund Inc.","Financial","Asset Management","USA",201.48,4.23,13.93,-0.57%,237572
135,"AIG","American International Group, Inc.","Financial","Insurance - Diversified","USA",52458.35,5.94,64.48,2.09%,3712149
136,"AIMC","Altra Industrial Motion Corp.","Industrials","Specialty Industrial Machinery","USA",2535.16,96.03,39.47,-1.00%,266817
137,"AIN","Albany International Corp.","Consumer Cyclical","Textile Manufacturing","USA",2785.92,23.96,87.47,1.23%,142352
138,"AINV","Apollo Investment Corporation","Financial","Asset Management","USA",873.04,7.15,13.26,1.45%,244422
139,"AIO","Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund","Financial","Closed-End Fund - Equity","USA",736.57,,21.45,0.05%,77817
140,"AIP","Arteris, Inc.","Technology","Semiconductors","USA",360.60,,12.99,-2.70%,22191
141,"AIR","AAR Corp.","Industrials","Aerospace & Defense","USA",1782.04,23.47,50.93,0.00%,512163
142,"AIRC","Apartment Income REIT Corp.","Real Estate","REIT - Residential","USA",8347.50,18.44,53.00,1.15%,906522
143,"AIRG","Airgain, Inc.","Technology","Communication Equipment","USA",81.60,,8.00,0.00%,32586
144,"AIRS","AirSculpt Technologies, Inc.","Healthcare","Medical Care Facilities","USA",735.48,24.83,13.51,-2.88%,81507
145,"AIT","Applied Industrial Technologies, Inc.","Industrials","Industrial Distribution","USA",3889.51,17.60,101.00,1.16%,138113
146,"AIV","Apartment Investment and Management Company","Real Estate","REIT - Residential","USA",1145.66,,7.41,1.09%,862603
147,"AIZ","Assurant, Inc.","Financial","Insurance - Specialty","USA",10157.47,18.25,184.48,0.88%,391802
148,"AJG","Arthur J. Gallagher & Co.","Financial","Insurance Brokers","USA",34580.03,38.01,168.06,1.08%,472919
149,"AJRD","Aerojet Rocketdyne Holdings, Inc.","Industrials","Aerospace & Defense","USA",3178.01,22.87,39.75,-0.38%,787034
150,"AJX","Great Ajax Corp.","Real Estate","REIT - Mortgage","USA",254.81,9.20,10.95,0.37%,69827
151,"AKAM","Akamai Technologies, Inc.","Technology","Software - Infrastructure","USA",18528.77,30.01,117.95,0.49%,1294429
152,"AKAN","Akanda Corp. Common Shares","Healthcare","Drug Manufacturers - Specialty & Generic","United Kingdom",259.26,,8.97,0.79%,509231
